FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Subject,Condition,Limb
-7.427578,-8.248919,-0.079027,0.956101,1.113773,1.148089,-0.270975,-0.161948,0.186852,-0.18752,-3.9311,1.27945,1.31783,0.10428,4,Normal,NonDominant
-8.212776,-8.622057,-0.165317,9.951228,0.981458,1.073078,-0.330973,-0.29012,0.030812,-0.345468,-0.857848,0.95988,1.19985,0.17183,5,Normal,NonDominant
-18.531734,-18.727423,-0.081498,6.796392,1.085793,1.109596,-0.238479,-0.125115,0.234406,-0.115912,7.412739,1.0218,1.21594,0.10588,6,Normal,NonDominant
5.279532,5.614993,-0.074972,0.246964,1.168404,1.134235,-0.203198,-0.218291,0.487696,-0.231583,4.221869,1.45453,1.6218,0.05389,7,Normal,NonDominant
-0.929716,-2.58786,-0.126789,-0.338405,1.236437,1.10831,-0.353019,-0.283342,0.297023,0.029351,-4.967558,1.36313,1.42448,0.12972,8,Normal,NonDominant
-22.325626,-22.679619,-0.101065,2.488405,1.135627,1.070236,-0.321645,-0.158382,0.436658,-0.032711,-0.923146,1.24325,1.47325,0.11264,9,Normal,NonDominant
-13.084854,-14.063412,-0.085685,3.245901,1.009514,0.963993,-0.291649,-0.148463,0.243793,-0.152555,-0.998431,1.30104,1.45717,0.13652,10,Normal,NonDominant
-13.757446,-14.662646,-0.168494,6.303601,1.102573,1.079188,-0.431783,-0.25662,0.37628,0.019534,-0.34193,1.04678,1.2823,0.1349,11,Normal,NonDominant
-14.883252,-15.180903,-0.064735,-1.857658,1.16839,0.997414,-0.214246,-0.170557,0.411389,-0.037178,-1.228588,1.30181,1.30181,0.17501,12,Normal,NonDominant
-4.568954,-5.495864,-0.040518,0.912267,1.04967,1.041862,-0.13678,-0.109871,0.382112,-0.02279,-0.145238,1.22062,1.34268,0.17265,13,Normal,NonDominant
-6.549526,-7.288905,-0.065757,1.787873,1.191529,1.136241,-0.284851,-0.153086,-0.020513,-0.231502,-2.613469,1.37236,1.35863,0.15315,14,Normal,NonDominant
-14.558678,-15.620749,-0.045207,1.372983,0.92839,1.070229,-0.181841,-0.082212,-0.043579,-0.109912,4.42254,1.18884,1.25423,0.13571,15,Normal,NonDominant
-0.072759,-0.837108,-0.07172,-0.477372,1.127115,1.061265,-0.241927,-0.134051,0.234932,-0.351774,0.080067,1.16216,1.29,0.18016,0,Normal,NonDominant
-5.580571,-6.642887,-0.078064,2.578812,1.140377,1.105739,-0.324434,-0.14668,0.360132,-0.254131,3.50605,1.46684,1.46684,0.18283,1,Normal,NonDominant
-7.606324,-8.101278,-0.13028,4.12336,1.032072,1.033973,-0.284592,-0.260225,0.28328,-0.087218,2.03911,1.16064,1.31153,0.08185,2,Normal,NonDominant
2.91107,2.005413,-0.082999,-3.802315,1.006959,1.172995,-0.239466,-0.261425,-0.049505,-0.191781,-3.124571,1.28277,1.37257,0.16709,3,Normal,NonDominant
-6.310609,-7.296778,-0.077408,0.923328,1.133708,1.120311,-0.28407,-0.172209,0.180085,-0.17576,-5.073723,1.22776,1.22776,0.10622,4,Normal,NonDominant
-7.596371,-8.038665,-0.181049,9.946256,0.96822,1.077507,-0.345314,-0.273324,0.048746,-0.298397,-1.065592,0.96829,1.21036,0.16027,5,Normal,NonDominant
-16.409967,-16.660812,-0.071504,6.640131,1.056162,1.116069,-0.227771,-0.105755,0.219438,-0.103972,7.325357,0.99163,1.20979,0.08761,6,Normal,NonDominant
6.97597,6.987508,-0.059854,-0.497193,1.160673,1.1881,-0.195865,-0.16296,0.424566,-0.221514,4.226632,1.44028,1.52669,0.08078,7,Normal,NonDominant
0.855447,-0.872513,-0.121627,-0.973029,1.223263,1.153047,-0.367512,-0.30154,0.390904,0.057703,-3.532927,1.47867,1.49346,0.13643,8,Normal,NonDominant
-18.846153,-19.378975,-0.090022,2.0422,1.155738,1.082602,-0.311363,-0.16694,0.440405,-0.071046,-0.941071,1.36344,1.49297,0.16531,9,Normal,NonDominant
-14.134326,-15.211778,-0.100901,3.720333,1.01641,0.957124,-0.297858,-0.155421,0.26856,-0.116673,-1.600805,1.23706,1.4288,0.11355,10,Normal,NonDominant
-14.039989,-14.78951,-0.155887,6.319039,1.12925,1.109382,-0.432515,-0.258571,0.396966,-0.043247,-1.413851,1.12731,1.32459,0.12557,11,Normal,NonDominant
-19.989964,-20.175428,-0.069456,-1.40917,1.053685,1.026011,-0.244315,-0.15378,0.230386,-0.096546,-1.799016,1.33012,1.33012,0.17411,12,Normal,NonDominant
